CWE-ID,Name
56,Эквивалентность пути: 'filedir*' (Подстановочный знак)
57,Эквивалентность пути: 'fakedir/../realdir/filename'
58,Эквивалентность пути: Имя файла Windows 8.3
59,"Некорректное разрешение ссылок перед доступом к файлу («Следование по ссылке»)"
61,Следование по символической ссылке UNIX (Symlink)
62,Жесткая ссылка UNIX
64,Следование по ярлыку Windows (.LNK)
65,Жесткая ссылка Windows
66,Некорректная обработка имен файлов идентифицирующих виртуальные ресурсы
67,Некорректная обработка имен устройств Windows
69,Некорректная обработка альтернативного потока данных Windows ::DATA
72,Некорректная обработка альтернативного потока данных Apple HFS+
73,Внешнее управление именем файла или путем
74,"Некорректная нейтрализация специальных элементов в выводе, используемом последующим компонентом («Инъекция»)"
75,Неспособность очистить специальные элементы в другой плоскости (Инъекция специальных элементов)
76,Некорректная нейтрализация эквивалентных специальных элементов
77,"Некорректная нейтрализация специальных элементов, используемых в команде («Внедрение команд»)"
78,"Некорректная нейтрализация специальных элементов, используемых в команде ОС («Внедрение команд ОС»)"
79,"Некорректная нейтрализация ввода при генерации веб-страниц («Межсайтовый скриптинг»)"
80,Некорректная нейтрализация HTML-тегов связанных со скриптами на веб-странице (Базовый XSS)
81,Некорректная нейтрализация скрипта на веб-странице сообщения об ошибке
82,Некорректная нейтрализация скрипта в атрибутах тегов IMG на веб-странице
83,Некорректная нейтрализация скрипта в атрибутах на веб-странице
84,Некорректная нейтрализация закодированных схем URI на веб-странице
85,Манипуляции XSS с удвоенными символами
86,Некорректная нейтрализация недопустимых символов в идентификаторах на веб-страницах
87,Некорректная нейтрализация альтернативного синтаксиса XSS
88,"Некорректная нейтрализация разделителей аргументов в команде («Внедрение аргументов»)"
89,"Некорректная нейтрализация специальных элементов, используемых в SQL-команде («SQL-инъекция»)"
90,"Некорректная нейтрализация специальных элементов, используемых в LDAP-запросе («LDAP-инъекция»)"
91,XML-инъекция (также известная как слепая XPath-инъекция)
93,"Некорректная нейтрализация последовательностей CRLF («CRLF-инъекция»)"
94,"Некорректный контроль генерации кода («Внедрение кода»)"
95,"Некорректная нейтрализация директив в динамически оцениваемом коде («Eval-инъекция»)"
96,"Некорректная нейтрализация директив в статически сохраненном коде («Статическое внедрение кода»)"
97,Некорректная нейтрализация серверных включений (SSI) на веб-странице
98,"Некорректный контроль имени файла для оператора Include/Require в PHP («Удаленное включение файла PHP»)"
99,"Некорректный контроль идентификаторов ресурсов («Внедрение ресурсов»)"
102,Struts: Дублирование форм проверки
103,Struts: Неполное определение метода validate()
104,Struts: Класс Form Bean не расширяет класс Validation
105,Struts: Поле формы без валидатора
106,Struts: Не используется плагин Validator
107,Struts: Неиспользуемая форма проверки
108,Struts: Непроверенная Action Form
109,Struts: Валидатор отключен
110,Struts: Валидатор без поля формы
111,Прямое использование небезопасного JNI
112,Отсутствие проверки XML
113,"Некорректная нейтрализация последовательностей CRLF в HTTP-заголовках («Разделение HTTP-запроса/ответа»)"
114,Управление процессами
115,Неправильная интерпретация ввода
116,Некорректное кодирование или экранирование вывода
117,Некорректная нейтрализация вывода для журналов
118,"Некорректный доступ к индексируемому ресурсу («Ошибка диапазона»)"
119,Некорректное ограничение операций в пределах буфера памяти
120,"Копирование буфера без проверки размера входных данных («Классическое переполнение буфера»)"
121,Переполнение буфера в стеке
122,Переполнение буфера в куче
123,Состояние записи-чего-угодно-куда-угодно
124,"Неполное заполнение буфера при записи («Опустошение буфера»)"
125,Чтение за границами буфера
126,Переполнение буфера при чтении
127,Чтение до границ буфера
128,Ошибка циклического переноса (Wraparound)
129,Некорректная проверка индекса массива
130,Некорректная обработка несогласованности параметра длины
131,Некорректное вычисление размера буфера
134,Использование форматной строки контролируемой извне
135,Некорректное вычисление длины многобайтовой строки
138,Некорректная нейтрализация специальных элементов
140,Некорректная нейтрализация разделителей
141,Некорректная нейтрализация разделителей параметров/аргументов
142,Некорректная нейтрализация разделителей значений
143,Некорректная нейтрализация разделителей записей
144,Некорректная нейтрализация разделителей строк
145,Некорректная нейтрализация разделителей секций
146,Некорректная нейтрализация разделителей выражений/команд
147,Некорректная нейтрализация терминаторов ввода
148,Некорректная нейтрализация начальных символов ввода
149,Некорректная нейтрализация синтаксиса кавычек
150,"Некорректная нейтрализация Escape-, мета- или управляющих последовательностей"
151,Некорректная нейтрализация разделителей комментариев
152,Некорректная нейтрализация макро-символов
153,Некорректная нейтрализация символов подстановки
154,Некорректная нейтрализация разделителей имен переменных
155,Некорректная нейтрализация подстановочных знаков или символов соответствия
156,Некорректная нейтрализация пробельных символов
157,Неспособность очистить парные разделители
158,Некорректная нейтрализация нулевого байта или NUL-символа
159,Некорректная обработка недопустимого использования специальных элементов
160,Некорректная нейтрализация начальных специальных элементов
161,Некорректная нейтрализация множественных начальных специальных элементов
162,Некорректная нейтрализация завершающих специальных элементов
163,Некорректная нейтрализация множественных завершающих специальных элементов
164,Некорректная нейтрализация внутренних специальных элементов
165,Некорректная нейтрализация множественных внутренних специальных элементов
166,Некорректная обработка отсутствующего специального элемента
167,Некорректная обработка дополнительного специального элемента
168,Некорректная обработка несогласованных специальных элементов
170,Некорректное завершение нулем
172,Ошибка кодирования
173,Некорректная обработка альтернативного кодирования
174,Двойное декодирование одних и тех же данных
175,Некорректная обработка смешанного кодирования
176,Некорректная обработка кодировки Unicode
177,Некорректная обработка URL-кодирования (Hex-кодирования)
178,Некорректная обработка чувствительности к регистру
179,Некорректный порядок действий: Ранняя проверка
180,Некорректный порядок действий: Проверка перед каноникализацией
181,Некорректный порядок действий: Проверка перед фильтрацией
182,Превращение данных в небезопасное значение
183,Разрешительный список допустимых входных данных
184,Неполный список запрещенных входных данных
185,Некорректное регулярное выражение
186,Чрезмерно ограничительное регулярное выражение
187,Частичное сравнение строк
188,Зависимость от расположения данных/памяти
190,Целочисленное переполнение или циклический перенос
191,Целочисленное антипереполнение (Wraparound)
192,Ошибка приведения целочисленного типа
193,Ошибка на единицу (Off-by-one)
194,Неожиданное расширение знака
195,Ошибка преобразования знакового в беззнаковое
196,Ошибка преобразования беззнакового в знаковое
197,Ошибка числового усечения
198,Использование некорректного порядка байтов
200,Раскрытие чувствительной информации неавторизованному субъекту
201,Вставка чувствительной информации в отправляемые данные
202,Раскрытие чувствительной информации через запросы данных
203,Наблюдаемое расхождение
204,Наблюдаемое расхождение в ответах
205,Наблюдаемое расхождение в поведении
206,Наблюдаемое внутреннее расхождение в поведении
207,Наблюдаемое расхождение в поведении с эквивалентными продуктами
208,Наблюдаемое расхождение по времени
209,Генерация сообщения об ошибке содержащего чувствительную информацию
210,Самостоятельно сгенерированное сообщение об ошибке содержащее чувствительную информацию
211,Внешне сгенерированное сообщение об ошибке содержащее чувствительную информацию
212,Некорректное удаление чувствительной информации перед хранением или передачей
213,Раскрытие чувствительной информации из-за несовместимости политик
214,Вызов процесса с использованием видимой чувствительной информации
215,Вставка чувствительной информации в отладочный код
219,Хранение файла с чувствительными данными в корневом веб-каталоге
220,Хранение файла с чувствительными данными в корневом FTP-каталоге
221,Потеря или пропуск информации
222,Усечение информации важной для безопасности
223,Пропуск информации важной для безопасности
224,Сокрытие важной для безопасности информации под альтернативным именем
226,Чувствительная информация в ресурсе не удалена перед повторным использованием
228,Некорректная обработка синтаксически неверной структуры
229,Некорректная обработка значений
230,Некорректная обработка отсутствующих значений
231,Некорректная обработка лишних значений
232,Некорректная обработка неопределенных значений
233,Некорректная обработка параметров
234,Неспособность обработать отсутствующий параметр
235,Некорректная обработка лишних параметров
236,Некорректная обработка неопределенных параметров
237,Некорректная обработка структурных элементов
238,Некорректная обработка неполных структурных элементов
239,Неспособность обработать неполный элемент
240,Некорректная обработка несогласованных структурных элементов
241,Некорректная обработка неожиданного типа данных
242,Использование изначально опасной функции
243,Создание chroot-тюрьмы без смены рабочего каталога
244,"Некорректная очистка памяти кучи перед освобождением («Проверка кучи»)"
245,Плохие практики J2EE: Прямое управление соединениями
246,Плохие практики J2EE: Прямое использование сокетов
248,Неперехваченное исключение
250,Выполнение с излишними привилегиями
252,Непроверенное возвращаемое значение
253,Некорректная проверка возвращаемого значения функции
256,Хранение пароля в открытом виде
257,Хранение паролей в восстанавливаемом формате
258,Пустой пароль в конфигурационном файле
259,Использование жестко заданного пароля
260,Пароль в конфигурационном файле
261,Слабое кодирование пароля
262,Отсутствие механизма старения паролей
263,Старение пароля с длительным сроком действия
266,Некорректное назначение привилегий
267,Привилегия определена с небезопасными действиями
268,Цепочка привилегий
269,Некорректное управление привилегиями
270,Ошибка переключения контекста привилегий
271,Ошибки сброса / понижения привилегий
272,Нарушение принципа наименьших привилегий
273,Некорректная проверка сброшенных привилегий
274,Некорректная обработка недостаточных привилегий
276,Некорректные права по умолчанию
277,Небезопасные унаследованные права
278,Небезопасные сохраненные унаследованные права
279,Некорректные права назначенные при выполнении
280,Некорректная обработка недостаточных прав или привилегий
281,Некорректное сохранение прав
282,Некорректное управление владением
283,Непроверенное владение
284,Некорректный контроль доступа
285,Некорректная авторизация
286,Некорректное управление пользователями
287,Некорректная аутентификация
288,Обход аутентификации с использованием альтернативного пути или канала
289,Обход аутентификации по альтернативному имени
290,Обход аутентификации путем спуфинга
291,Использование IP-адреса для аутентификации
293,Использование поля Referer для аутентификации
294,Обход аутентификации путем перехвата и воспроизведения
295,Некорректная проверка сертификата
296,Некорректное следование цепочке доверия сертификата
297,Некорректная проверка сертификата на несовпадение хоста
298,Некорректная проверка истечения срока действия сертификата
299,Некорректная проверка отзыва сертификата
300,Канал доступен не только конечной точке
301,Атака отражения в протоколе аутентификации
302,Обход аутентификации на основе предположительно неизменяемых данных
303,Некорректная реализация алгоритма аутентификации
304,Пропуск критического шага в аутентификации
305,Обход аутентификации из-за основной слабости
306,Отсутствие аутентификации для критической функции
307,Некорректное ограничение чрезмерных попыток аутентификации
308,Использование однофакторной аутентификации
309,Использование системы паролей для основной аутентификации
311,Отсутствие шифрования чувствительных данных
312,Хранение чувствительной информации в открытом виде
313,Хранение в открытом виде в файле или на диске
314,Хранение в открытом виде в реестре
315,Хранение чувствительной информации в открытом виде в Cookie
316,Хранение чувствительной информации в открытом виде в памяти
317,Хранение чувствительной информации в открытом виде в графическом интерфейсе
318,Хранение чувствительной информации в открытом виде в исполняемом файле
319,Передача чувствительной информации в открытом виде
321,Использование жестко заданного криптографического ключа
322,Обмен ключами без аутентификации субъектов
323,Повторное использование одноразового числа и ключевой пары в шифровании
324,Использование ключа после истечения срока его действия
325,Пропуск криптографического шага
326,Недостаточная стойкость шифрования
327,Использование взломанного или рискованного криптографического алгоритма
328,Использование слабого хеша
329,Генерация предсказуемого вектора инициализации (IV) в режиме CBC
330,Использование недостаточно случайных значений
331,Недостаточная энтропия
332,Недостаточная энтропия в ГПСЧ
333,Некорректная обработка недостаточной энтропии в аппаратном ГСЧ
334,Малое пространство случайных значений
335,Некорректное использование начального числа (seed) в генераторе псевдослучайных чисел (ГПСЧ)
336,Одинаковое начальное число в ГПСЧ
337,Предсказуемое начальное число в ГПСЧ
338,Использование криптографически слабого ГПСЧ
339,Малое пространство начальных чисел в ГПСЧ
340,Генерация предсказуемых чисел или идентификаторов
341,Предсказуемость на основе наблюдаемого состояния
342,Предсказуемое точное значение на основе предыдущих значений
343,Предсказуемый диапазон значений на основе предыдущих значений
344,Использование инвариантного значения в динамически меняющемся контексте
345,Недостаточная проверка подлинности данных
346,Ошибка проверки источника
347,Некорректная проверка криптографической подписи
348,Использование менее доверенного источника
349,Принятие посторонних недоверенных данных вместе с доверенными
350,Использование обратного DNS-разрешения для критически важного действия
351,Недостаточное различение типов
352,Межсайтовая подделка запроса (CSRF)
353,Отсутствие поддержки проверки целостности
354,Некорректная проверка значения контроля целостности
356,Пользовательский интерфейс не предупреждает о небезопасных действиях
357,Недостаточное предупреждение в пользовательском интерфейсе об опасных операциях
358,Некорректно реализованная проверка безопасности для стандарта
359,Раскрытие личной информации неавторизованному субъекту
360,Доверие к данным событий системы
362,"Параллельное выполнение с использованием общего ресурса при некорректной синхронизации («Состояние гонки»)"
363,Состояние гонки позволяющее следование по ссылке
364,Состояние гонки в обработчике сигналов
366,Состояние гонки внутри потока
367,"Состояние гонки «Время проверки — время использования» (TOCTOU)"
368,Состояние гонки при переключении контекста
369,Деление на ноль
370,Отсутствие проверки отзыва сертификата после первоначальной проверки
372,Неполное различение внутреннего состояния
374,Передача изменяемых объектов недоверенному методу
375,Возврат изменяемого объекта недоверенному вызывающему коду
377,Небезопасный временный файл
378,Создание временного файла с небезопасными правами
379,Создание временного файла в каталоге с небезопасными правами
382,Плохие практики J2EE: Использование System.exit()
383,Плохие практики J2EE: Прямое использование потоков
384,Фиксация сессии
385,Скрытый временной канал
386,Символьное имя не соответствует корректному объекту
390,Обнаружение состояния ошибки без выполнения действия
391,Непроверенное состояние ошибки
392,Отсутствие сообщения о состоянии ошибки
393,Возврат неверного кода статуса
394,Неожиданный код статуса или возвращаемое значение
395,Использование перехвата NullPointerException для обнаружения разыменования нулевого указателя
396,Объявление перехвата для универсального исключения
397,Объявление выбрасывания универсального исключения
400,Неконтролируемое потребление ресурсов
401,Отсутствие освобождения памяти после окончания срока службы
402,"Передача частных ресурсов в новую сферу («Утечка ресурса»)"
403,"Предоставление файлового дескриптора непредусмотренной сфере управления («Утечка файлового дескриптора»)"
404,Некорректное завершение работы или освобождение ресурса
405,Асимметричное потребление ресурсов (Усиление)
406,Недостаточный контроль объема сетевых сообщений (Сетевое усиление)
407,Неэффективная алгоритмическая сложность
408,Некорректный порядок действий: Раннее усиление
409,Некорректная обработка сильно сжатых данных (Усиление данных)
410,Недостаточный пул ресурсов
412,Неограниченная внешне доступная блокировка
413,Некорректная блокировка ресурса
414,Отсутствие проверки блокировки
415,Двойное освобождение
416,Использование после освобождения
419,Незащищенный основной канал
420,Незащищенный альтернативный канал
421,Состояние гонки при доступе к альтернативному каналу
422,"Незащищенный канал сообщений Windows («Shatter»)"
424,Некорректная защита альтернативного пути
425,"Прямой запрос («Принудительный просмотр»)"
426,Недоверенный путь поиска
427,Неконтролируемый элемент пути поиска
428,Незакавыченный путь или элемент поиска
430,Развертывание неправильного обработчика
431,Отсутствующий обработчик
432,Опасный обработчик сигналов не отключен во время важных операций
433,Доставка необработанного веб-контента
434,Неограниченная загрузка файла опасного типа
435,Некорректное взаимодействие между несколькими корректно работающими объектами
436,Конфликт интерпретации
437,Неполная модель функций конечной точки
439,Изменение поведения в новой версии или среде
440,Нарушение ожидаемого поведения
441,"Непреднамеренный прокси или посредник («Сбитый с толку заместитель»)"
444,"Несогласованная интерпретация HTTP-запросов («Контрабанда HTTP-запросов/ответов»)"
446,Несоответствие пользовательского интерфейса функции безопасности
447,Нереализованная или неподдерживаемая функция в пользовательском интерфейсе
448,Устаревшая функция в пользовательском интерфейсе
449,Пользовательский интерфейс выполняет неправильное действие
450,Множественная интерпретация ввода пользовательского интерфейса
451,Искажение критической информации в пользовательском интерфейсе (UI)
453,Небезопасная инициализация переменной по умолчанию
454,Внешняя инициализация доверенных переменных или хранилищ данных
455,Отсутствие выхода при ошибке инициализации
456,Отсутствие инициализации переменной
457,Использование неинициализированной переменной
459,Неполная очистка
460,Некорректная очистка при выбрасывании исключения
462,Дублирующийся ключ в ассоциативном списке (Alist)
463,Удаление сторожевого элемента структуры данных
464,Добавление сторожевого элемента структуры данных
466,Возврат значения указателя за пределами ожидаемого диапазона
467,Использование sizeof() для типа указателя
468,Некорректное масштабирование указателя
469,Использование вычитания указателей для определения размера
470,"Использование внешне контролируемого ввода для выбора классов или кода («Небезопасная рефлексия»)"
471,Модификация предположительно неизменяемых данных (MAID)
472,Внешнее управление предположительно неизменяемым веб-параметром
473,Внешняя модификация переменных PHP
474,Использование функции с несогласованными реализациями
475,Неопределенное поведение при вводе в API
476,Разыменование нулевого указателя (NULL Pointer Dereference)
477,Использование устаревшей функции
478,Отсутствие ветви default в выражении с множественным выбором
479,Использование нереентерабельной функции в обработчике сигналов
480,Использование некорректного оператора
481,Присваивание вместо сравнения
482,Сравнение вместо присваивания
483,Некорректное разграничение блоков
484,Пропущен оператор break в Switch
486,Сравнение классов по имени
487,Использование области видимости на уровне пакета
488,Предоставление элемента данных неверной сессии
489,Активный отладочный код
491,"Публичный метод clone() без final («Перехват объекта»)"
492,Использование внутреннего класса содержащего чувствительные данные
493,Критическая публичная переменная без модификатора final
494,Загрузка кода без проверки целостности
495,Приватная структура данных возвращается из публичного метода
496,Публичные данные присваиваются приватному полю типа массив
497,Раскрытие чувствительной системной информации неавторизованной сфере управления
498,Класс реализующий Cloneable и содержащий чувствительную информацию
499,Класс реализующий Serializable и содержащий чувствительные данные
500,Публичное статическое поле без модификатора final
501,Нарушение границы доверия
502,Десериализация недоверенных данных
506,Встроенный вредоносный код
507,Троянский конь
508,Нереплицирующийся вредоносный код
509,Реплицирующийся вредоносный код (Вирус или Червь)
510,Люк (Trapdoor)
511,Логическая/временная бомба
512,Шпионское ПО
514,Скрытый канал
515,Скрытый канал хранения
520,Некорректная конфигурация .NET: Использование олицетворения (Impersonation)
521,Слабые требования к паролю
522,Недостаточно защищенные учетные данные
523,Незащищенная передача учетных данных
524,Использование кэша содержащего чувствительную информацию
525,Использование кэша веб-браузера содержащего чувствительную информацию
526,Хранение чувствительной информации в открытом виде в переменной окружения
527,Предоставление репозитория контроля версий неавторизованной сфере управления
528,Предоставление файла дампа памяти неавторизованной сфере управления
529,Предоставление файлов списков контроля доступа неавторизованной сфере управления
530,Предоставление файла резервной копии неавторизованной сфере управления
531,Включение чувствительной информации в тестовый код
532,Вставка чувствительной информации в файл журнала
535,Раскрытие информации через сообщение об ошибке командной оболочки
536,Сообщение об ошибке времени выполнения сервлета содержащее чувствительную информацию
537,Сообщение об ошибке времени выполнения Java содержащее чувствительную информацию
538,Вставка чувствительной информации во внешне доступный файл или каталог
539,Использование постоянных Cookie содержащих чувствительную информацию
540,Включение чувствительной информации в исходный код
541,Включение чувствительной информации в подключаемый файл
543,Использование шаблона Singleton без синхронизации в многопоточном контексте
544,Отсутствие стандартизированного механизма обработки ошибок
546,Подозрительный комментарий
547,"Использование жестко заданных констант, важных для безопасности"
548,Раскрытие информации через листинг каталога
549,Отсутствие маскирования поля ввода пароля
550,Сгенерированное сервером сообщение об ошибке содержащее чувствительную информацию
551,Некорректный порядок действий: Авторизация перед парсингом и каноникализацией
552,Файлы или каталоги доступные внешним сторонам
553,Командная оболочка во внешне доступном каталоге
554,Некорректная конфигурация ASP.NET: Неиспользование фреймворка проверки ввода
555,Некорректная конфигурация J2EE: Пароль в открытом виде в конфигурационном файле
556,Некорректная конфигурация ASP.NET: Использование олицетворения удостоверения
558,Использование getlogin() в многопоточном приложении
560,Использование umask() с аргументом в стиле chmod
561,Мертвый код
562,Возврат адреса переменной из стека
563,Присваивание переменной без использования
564,SQL-инъекция: Hibernate
565,Использование Cookie без проверки валидности и целостности
566,Обход авторизации через контролируемый пользователем первичный ключ SQL
567,Несинхронизированный доступ к общим данным в многопоточном контексте
568,Метод finalize() без вызова super.finalize()
570,Выражение всегда ложно
571,Выражение всегда истинно
572,Вызов Thread.run() вместо start()
573,Некорректное следование спецификации вызывающей стороной
574,Плохие практики EJB: Использование примитивов синхронизации
575,Плохие практики EJB: Использование AWT Swing
576,Плохие практики EJB: Использование Java I/O
577,Плохие практики EJB: Использование сокетов
578,Плохие практики EJB: Использование загрузчика классов
579,Плохие практики J2EE: Несериализуемый объект сохранен в сессии
580,Метод clone() без вызова super.clone()
581,Нарушение объектной модели: Определен только один из методов equals и hashcode
582,"Массив объявлен как public, final и static"
583,Метод finalize() объявлен как public
584,Возврат внутри блока finally
585,Пустой синхронизированный блок
586,Явный вызов Finalize()
587,Присваивание фиксированного адреса указателю
588,Попытка доступа к дочернему элементу неструктурного указателя
589,Вызов не повсеместно доступного API
590,Освобождение памяти не выделенной в куче
591,Хранение чувствительных данных в неправильно заблокированной памяти
593,Обход аутентификации: Объект OpenSSL CTX изменен после создания SSL-объектов
594,Фреймворк J2EE: Сохранение несериализуемых объектов на диск
595,Сравнение ссылок на объекты вместо содержимого объектов
597,Использование неправильного оператора при сравнении строк
598,Использование HTTP-запроса с чувствительной строкой запроса
599,Отсутствие проверки сертификата OpenSSL
600,Неперехваченное исключение в сервлете
601,"Перенаправление URL на недоверенный сайт («Открытое перенаправление»)"
602,Обеспечение безопасности на стороне сервера средствами клиента
603,Использование аутентификации на стороне клиента
605,Множественная привязка к одному порту
606,Непроверенный ввод для условия цикла
607,Публичная статическая финальная переменная ссылается на изменяемый объект
608,Struts: Неприватное поле в классе ActionForm
609,Блокировка с двойной проверкой
610,Внешне контролируемая ссылка на ресурс в другой сфере
611,Некорректное ограничение ссылки на внешние сущности XML
612,Некорректная авторизация индекса содержащего чувствительную информацию
613,Недостаточное истечение срока сессии
614,Чувствительная Cookie в HTTPS-сессии без атрибута 'Secure'
615,Включение чувствительной информации в комментарии к исходному коду
616,Неполная идентификация переменных загруженных файлов (PHP)
617,Достижимое утверждение (Assertion)
618,Раскрытый небезопасный метод ActiveX
619,"Висячий курсор базы данных («Внедрение курсора»)"
620,Непроверенное изменение пароля
621,Ошибка извлечения переменных
622,Некорректная проверка аргументов перехватчика функций
623,Небезопасный элемент управления ActiveX помечен как безопасный для скриптов
624,Ошибка исполняемого регулярного выражения
625,Разрешительное регулярное выражение
626,Ошибка взаимодействия с нулевым байтом (Отравляющий нулевой байт)
627,Динамическое вычисление переменных
628,Вызов функции с некорректно указанными аргументами
636,"Отсутствие безопасного отказа («Отказ с открытым состоянием»)"
637,"Излишняя сложность механизма защиты (Неиспользование «Простоты механизма»)"
638,Неиспользование полного посредничества
639,Обход авторизации через контролируемый пользователем ключ
640,Слабый механизм восстановления забытого пароля
641,Некорректное ограничение имен для файлов и других ресурсов
642,Внешний контроль критических данных состояния
643,"Некорректная нейтрализация данных в выражениях XPath («XPath-инъекция»)"
644,Некорректная нейтрализация HTTP-заголовков для синтаксиса скриптов
645,Чрезмерно ограничительный механизм блокировки учетной записи
646,Зависимость от имени файла или расширения внешне предоставляемого файла
647,Использование неканонических URL-путей для принятия решений об авторизации
648,Некорректное использование привилегированных API
649,Использование обфускации или шифрования входных данных важных для безопасности без проверки целостности
650,Доверие к HTTP-методам разрешений на стороне сервера
651,Раскрытие WSDL-файла содержащего чувствительную информацию
652,"Некорректная нейтрализация данных в выражениях XQuery («XQuery-инъекция»)"
653,Некорректная изоляция или компартментализация
654,Использование единственного фактора при принятии решения о безопасности
655,Недостаточная психологическая приемлемость
656,"Использование принципа «безопасность через неясность»"
657,Нарушение принципов безопасного проектирования
662,Некорректная синхронизация
663,Использование нереентерабельной функции в параллельном контексте
664,Некорректный контроль ресурса в течение его жизненного цикла
665,Некорректная инициализация
666,Операция с ресурсом на неправильной фазе жизненного цикла
667,Некорректная блокировка
668,Предоставление ресурса неверной сфере
669,Некорректная передача ресурса между сферами
670,Всегда некорректная реализация потока управления
671,Отсутствие контроля администратора над безопасностью
672,Операция с ресурсом после истечения срока действия или освобождения
673,Внешнее влияние на определение сферы
674,Неконтролируемая рекурсия
675,Множественные операции с ресурсом в однократном контексте
676,Использование потенциально опасной функции
680,Целочисленное переполнение ведущее к переполнению буфера
681,Некорректное преобразование между числовыми типами
682,Некорректное вычисление
683,Вызов функции с некорректным порядком аргументов
684,Некорректное предоставление указанной функциональности
685,Вызов функции с некорректным количеством аргументов
686,Вызов функции с некорректным типом аргументов
687,Вызов функции с некорректно указанным значением аргумента
688,Вызов функции с некорректной переменной или ссылкой в качестве аргумента
689,Состояние гонки прав доступа при копировании ресурса
690,Непроверенное возвращаемое значение ведущее к разыменованию нулевого указателя
691,Недостаточное управление потоком управления
692,Неполный запретный список ведущий к межсайтовому скриптингу
693,Отказ механизма защиты
694,Использование нескольких ресурсов с дублирующимися идентификаторами
695,Использование низкоуровневой функциональности
696,Некорректный порядок действий
697,Некорректное сравнение
698,Выполнение после перенаправления (EAR)
703,Некорректная проверка или обработка исключительных ситуаций
704,Некорректное преобразование или приведение типов
705,Некорректная область видимости потока управления
706,Использование некорректно разрешенного имени или ссылки
707,Некорректная нейтрализация
708,Некорректное назначение владения
710,Некорректное соблюдение стандартов кодирования
732,Некорректное назначение прав для критического ресурса
733,Удаление или модификация компилятором кода важного для безопасности
749,Раскрытый опасный метод или функция
754,Некорректная проверка на необычные или исключительные условия
755,Некорректная обработка исключительных условий
756,Отсутствие пользовательской страницы ошибки
757,"Выбор менее безопасного алгоритма во время согласования («Понижение алгоритма»)"
758,"Зависимость от неопределенного, неуточненного или зависимого от реализации поведения"
759,Использование одностороннего хеша без «соли»
760,Использование одностороннего хеша с предсказуемой «солью»
761,Освобождение указателя не указывающего на начало буфера
762,Несоответствие процедур управления памятью
763,Освобождение недопустимого указателя или ссылки
764,Многократная блокировка критического ресурса
765,Многократная разблокировка критического ресурса
766,Критический элемент данных объявлен публичным
767,Доступ к критической приватной переменной через публичный метод
768,Некорректное вычисление по короткой схеме
770,Выделение ресурсов без ограничений или регулирования
771,Отсутствие ссылки на активный выделенный ресурс
772,Отсутствие освобождения ресурса после окончания срока службы
773,Отсутствие ссылки на активный файловый дескриптор или хендл
774,Выделение файловых дескрипторов или хендлов без ограничений или регулирования
775,Отсутствие освобождения файлового дескриптора или хендла после окончания срока службы
776,"Некорректное ограничение рекурсивных ссылок на сущности в DTD («Расширение XML-сущностей»)"
777,Регулярное выражение без якорей
778,Недостаточное логирование
779,Логирование чрезмерного объема данных
780,Использование алгоритма RSA без OAEP
781,Некорректная проверка адреса в IOCTL с кодом управления вводом-выводом METHOD_NEITHER
